aX,aY,aZ,gX,gY,gZ
-0.328,-0.238,1.103,172.622,-42.134,67.988
-0.326,-0.140,1.187,168.171,-43.293,65.732
-0.343,-0.085,1.259,165.976,-44.695,69.817
-0.374,0.033,1.344,153.780,-40.549,65.976
-0.405,0.100,1.439,149.634,-39.024,60.305
-0.409,0.208,1.500,137.500,-31.890,58.720
-0.431,0.279,1.574,143.293,-28.415,51.890
-0.461,0.321,1.620,142.439,-12.195,46.463
-0.439,0.311,1.583,141.280,0.610,40.122
-0.412,0.280,1.547,143.232,8.232,33.902
-0.415,0.225,1.441,132.256,17.134,30.549
-0.422,0.136,1.353,123.902,21.768,27.012
-0.429,0.095,1.293,115.183,21.037,26.037
-0.394,0.035,1.230,103.293,22.805,18.171
-0.383,-0.057,1.206,96.951,21.098,18.049
-0.379,-0.103,1.182,84.451,22.317,19.634
-0.354,-0.153,1.184,74.634,17.744,15.915
-0.344,-0.158,1.216,55.488,21.098,10.671
-0.335,-0.140,1.246,42.439,20.427,10.244
-0.304,-0.068,1.247,25.366,26.220,7.439
-0.314,-0.009,1.235,12.988,30.915,7.683

-0.636,-0.631,1.319,-876.341,-40.915,-126.220
-0.636,-0.697,1.350,-858.598,-43.232,-128.110
-0.638,-0.759,1.435,-846.585,-33.049,-121.646
-0.640,-0.755,1.490,-834.085,-32.927,-117.439
-0.678,-0.763,1.509,-819.878,-29.878,-116.829
-0.655,-0.703,1.609,-804.817,-22.134,-109.817
-0.637,-0.583,1.717,-781.281,-5.061,-107.805
-0.649,-0.386,1.794,-763.354,12.439,-96.341
-0.606,-0.139,1.762,-736.281,38.841,-98.537
-0.572,0.032,1.708,-706.463,59.634,-93.659
-0.541,0.134,1.599,-671.524,86.585,-91.280
-0.454,0.214,1.395,-621.402,109.390,-86.890
-0.424,0.188,1.054,-560.732,137.073,-82.805
-0.391,0.106,0.659,-492.195,143.415,-76.829
-0.313,0.135,0.373,-429.939,164.634,-61.646
-0.263,0.129,-0.117,-378.963,165.854,-69.390
-0.215,0.056,-0.415,-322.378,128.598,-70.305
-0.184,-0.019,-0.445,-281.402,93.780,-72.622
-0.138,-0.075,-0.378,-247.378,76.524,-75.793
-0.132,-0.168,-0.207,-230.549,60.610,-79.695
-0.142,-0.299,0.030,-215.732,50.122,-86.037
-0.104,-0.401,0.273,-213.598,46.829,-92.012
-0.077,-0.497,0.578,-212.378,56.585,-94.024
-0.034,-0.480,0.708,-214.451,86.951,-96.220
-0.016,-0.448,0.591,-222.622,111.707,-101.402
0.010,-0.492,0.532,-223.415,126.463,-103.720
0.047,-0.593,0.276,-213.659,145.183,-108.415
0.132,-0.750,0.033,-204.573,157.927,-109.817
0.143,-0.972,-0.205,-187.500,177.256,-111.220
0.237,-1.119,-0.578,-163.537,208.293,-104.512
0.294,-1.215,-1.166,-145.671,185.183,-98.415
0.336,-1.376,-1.351,-125.183,141.768,-94.817
0.355,-1.435,-1.396,-112.439,124.085,-83.963
0.362,-1.538,-1.494,-99.695,107.927,-77.012
0.347,-1.646,-1.550,-81.220,78.659,-66.280
0.341,-1.697,-1.453,-69.146,52.500,-49.817
