aX,aY,aZ,gX,gY,gZ
0.875,0.175,1.144,-152.134,12.988,-151.707
0.848,-0.088,1.173,-148.598,22.073,-160.610
0.792,-0.334,1.206,-141.585,27.988,-158.963
0.719,-0.570,1.257,-130.366,33.659,-155.854
0.604,-0.799,1.257,-122.561,40.000,-150.000
0.515,-0.851,1.170,-105.915,41.098,-143.841
0.397,-0.969,1.254,-95.793,40.671,-131.159
0.312,-1.109,1.217,-80.549,43.232,-119.146
0.185,-1.140,1.227,-62.256,39.390,-102.683
0.124,-1.126,1.225,-49.024,32.744,-88.110
0.071,-1.159,1.179,-33.659,29.573,-71.585
0.013,-1.139,1.154,-20.427,29.390,-57.012
-0.019,-1.059,1.152,-6.280,22.622,-43.293
-0.056,-0.954,1.099,6.951,18.049,-34.756
-0.088,-0.854,1.084,23.110,10.366,-20.244
-0.077,-0.713,1.046,33.415,1.037,-11.037
-0.081,-0.563,1.036,39.756,-0.305,-5.366
-0.066,-0.421,0.995,47.744,-8.537,4.695
-0.042,-0.270,0.969,55.366,-17.805,8.476
-0.011,-0.106,0.953,56.646,-18.720,9.878
0.027,0.017,0.926,61.402,-25.488,15.061
0.065,0.140,0.920,64.634,-31.646,17.073
0.104,0.249,0.913,63.902,-33.293,17.073
0.154,0.385,0.892,62.744,-35.671,20.976
0.187,0.476,0.879,59.573,-34.634,21.768
0.228,0.572,0.871,58.902,-38.598,27.988
0.265,0.664,0.871,53.720,-38.537,32.866
0.292,0.729,0.855,49.695,-39.146,35.671
0.312,0.786,0.861,45.732,-41.890,42.988
0.338,0.825,0.843,41.280,-42.927,46.463
0.362,0.866,0.833,31.951,-40.915,48.537
0.407,0.874,0.829,28.049,-42.439,51.098
0.418,0.897,0.828,24.085,-40.061,50.183
0.453,0.891,0.850,13.171,-37.622,48.354
0.478,0.881,0.847,7.622,-39.268,42.622
0.508,0.855,0.850,3.537,-39.085,38.232
0.529,0.828,0.849,-0.244,-36.341,35.488
0.561,0.790,0.866,-3.232,-37.134,25.427
0.573,0.740,0.856,-8.963,-35.061,17.195
0.584,0.706,0.854,-15.976,-30.183,9.329
0.597,0.646,0.861,-18.598,-23.963,2.073
0.609,0.600,0.858,-21.646,-25.671,-3.293
0.619,0.547,0.869,-21.768,-24.817,-6.524
0.606,0.479,0.866,-26.463,-21.037,-10.793
0.598,0.417,0.871,-29.024,-15.915,-12.988
0.597,0.353,0.889,-27.439,-16.098,-12.256
0.583,0.284,0.883,-28.293,-13.171,-10.122
0.563,0.242,0.876,-29.817,-15.915,-7.866
0.553,0.179,0.878,-29.634,-10.488,-7.195
0.546,0.146,0.885,-30.427,-8.049,1.159
0.530,0.099,0.887,-29.451,-6.646,3.354
0.514,0.067,0.910,-28.659,-5.427,9.573
0.520,0.051,0.908,-25.915,-9.024,14.207
0.503,0.024,0.912,-23.293,-6.707,17.012
0.492,0.006,0.909,-21.524,-3.902,19.634
0.503,-0.014,0.902,-20.244,-4.146,23.537
0.480,0.004,0.903,-16.463,-6.768,28.598
0.484,-0.013,0.894,-13.232,-2.134,30.122
0.474,0.005,0.906,-14.207,-0.366,26.463
0.484,0.007,0.909,-13.537,4.390,27.927
0.476,0.017,0.909,-12.012,0.183,25.366
0.471,0.021,0.901,-8.598,3.171,23.841
0.460,0.032,0.907,-6.585,2.805,18.110
0.461,0.047,0.914,-5.000,4.146,14.573
0.467,0.034,0.931,-2.866,4.695,10.000
0.463,0.039,0.918,-2.866,5.610,6.524
0.454,0.066,0.926,-3.415,5.244,5.427
0.443,0.077,0.920,-0.854,5.854,1.463
0.442,0.113,0.920,2.378,7.683,-0.122
0.462,0.116,0.922,5.732,7.256,-6.585
0.441,0.127,0.928,4.390,6.159,-7.622
0.437,0.147,0.932,4.756,6.341,-6.341
0.439,0.177,0.951,5.793,8.598,-7.805
0.426,0.193,0.947,5.061,9.695,-9.573
0.417,0.198,0.960,2.256,12.683,-7.988
0.411,0.213,0.958,2.439,10.061,-5.671
0.412,0.238,0.944,1.585,14.512,-8.598
0.389,0.249,0.943,2.134,13.293,-2.561
0.392,0.253,0.935,3.049,8.232,-3.476
0.376,0.264,0.951,2.683,10.549,1.829
0.362,0.267,0.943,0.427,12.683,2.561
0.361,0.265,0.933,-2.561,14.268,0.793
0.337,0.266,0.945,-1.037,12.622,3.293
0.335,0.266,0.938,-1.951,15.366,4.817
0.322,0.250,0.937,-1.463,11.098,4.756
0.324,0.255,0.936,-1.159,12.805,3.293
0.314,0.232,0.937,-2.866,8.537,1.707

1.042,3.703,-0.654,-455.488,175.854,191.463
1.064,3.645,-0.763,-471.098,194.085,170.000
1.079,3.563,-0.887,-495.122,210.549,147.561
1.045,3.424,-1.029,-509.695,224.756,122.622
0.980,3.262,-1.151,-529.817,239.878,96.585
0.889,3.042,-1.290,-545.854,252.744,67.500
0.791,2.690,-1.455,-561.707,275.488,36.585
0.619,2.108,-1.716,-588.963,290.061,-11.220
0.409,1.380,-1.913,-610.061,306.890,-55.793
