aX,aY,aZ,gX,gY,gZ
4.000,1.267,-2.217,622.561,155.427,556.098
4.000,1.465,-2.313,627.500,170.549,598.841
4.000,1.574,-2.446,628.049,192.988,637.317
4.000,1.658,-2.496,634.024,206.585,666.768
4.000,1.760,-2.600,640.122,222.500,677.927
4.000,1.893,-2.738,644.207,238.537,681.402
4.000,2.121,-2.927,651.829,255.244,673.537
4.000,2.445,-2.945,659.573,259.695,649.878
4.000,2.805,-3.113,660.488,263.049,615.976
4.000,3.147,-3.149,648.293,277.866,568.963
4.000,3.452,-3.182,646.037,276.707,514.451
4.000,3.695,-3.088,633.659,281.646,449.146
4.000,4.000,-3.079,621.646,300.976,376.341
4.000,4.000,-3.049,603.659,321.341,303.293
4.000,4.000,-2.923,585.000,346.646,228.049
4.000,4.000,-2.859,560.488,372.866,154.146
4.000,4.000,-2.775,525.732,407.073,74.939
3.988,4.000,-2.734,485.976,444.512,1.829
